City,Date,PM2.5,PM10,NO,NO2,NOx,NH3,CO,SO2,O3,Benzene,Toluene,Xylene,AQI,AQI_Bucket
Chennai,25/12/2016,56.245000000000005,67.414,11.625,21.915,25.9,250.20999999999998,0.0,5.45,18.715,0.0,0.0,1.12,93.65534482758622,Satisfactory
Chennai,25/12/2017,53.02,69.57600000000001,8.82,21.51,16.38,244.15,0.3,8.9,24.74,2.25,2.95,1.12,88.20620689655172,Satisfactory
Chennai,25/12/2018,80.95,71.738,10.29,17.86,27.37,56.93,1.04,12.48,36.12,0.08,1.79,1.12,169.10517241379313,Moderate
Chennai,25/12/2019,54.37,73.9,5.54,19.74,25.26,85.55,0.75,9.79,33.18,0.25,0.75,1.12,90.48724137931035,Satisfactory
Chennai,26/01/2015,50.33,76.05666666666667,30.07,10.44,14.43,3.53,2.07,7.38,20.18,3.35,3.61,1.12,83.66103448275862,Satisfactory
Chennai,26/01/2016,46.29,78.21333333333334,9.88,18.21,17.18,47.56,0.68,3.26,30.61,6.45,6.47,1.12,76.8348275862069,Satisfactory
Chennai,26/01/2017,43.6,80.37,4.33,11.25,9.2,83.46000000000001,0.0,2.79,48.16,0.14,0.05,1.12,72.2896551724138,Satisfactory
Chennai,26/01/2018,74.03,82.52666666666667,11.69,18.96,16.01,119.36,0.83,6.7,51.81,1.19,2.32,1.12,145.48172413793105,Moderate
Chennai,26/01/2019,19.33,84.68333333333334,5.23,10.38,15.61,65.95,0.83,8.05,25.33,0.1,1.44,1.12,32.21666666666667,Good
Chennai,26/01/2020,41.74,86.84,15.35,16.43,31.63,50.09,0.9,10.3,33.78,0.79,0.03,1.12,69.14689655172414,Satisfactory
Chennai,26/02/2015,38.745000000000005,82.93333333333334,7.97,13.22,15.59,62.575,3.42,6.31,29.46,0.8400000000000001,4.29,1.12,64.08637931034484,Satisfactory
Chennai,26/02/2016,35.75,79.02666666666667,5.6,8.13,8.28,75.06,1.43,3.79,28.91,0.89,1.83,1.12,59.025862068965516,Satisfactory
Chennai,26/02/2017,44.1,75.12,6.67,9.6,10.17,87.545,0.0,4.42,18.06,0.11,0.14,1.12,73.13448275862069,Satisfactory
Chennai,26/02/2018,48.05,71.21333333333334,11.45,12.98,13.45,100.03,0.75,12.92,24.98,0.41,2.2,1.12,79.80862068965517,Satisfactory
Chennai,26/02/2019,199.98,67.30666666666667,6.87,12.07,18.94,16.9,1.08,9.36,18.88,0.02,0.42,1.12,361.6125581395349,Very Poor
Chennai,26/02/2020,39.25,63.4,5.38,8.88,14.06,39.97,0.58,7.63,39.14,1.4,0.0,1.12,64.9396551724138,Satisfactory
Chennai,26/03/2015,140.21,53.51,16.83,31.79,25.73,10.91,1.41,11.94,44.52,1.46,8.02,1.12,315.7425581395349,Very Poor
Chennai,26/03/2016,64.1,43.620000000000005,4.57,5.2,6.79,165.18,0.69,3.35,23.17,1.52,2.28,1.12,111.58275862068963,Moderate
Chennai,26/03/2017,74.46,33.730000000000004,3.73,11.05,8.01,95.245,0.0,3.46,29.09,0.06,0.0,1.12,146.94965517241377,Moderate
Chennai,26/03/2018,50.55,23.840000000000003,8.72,17.56,11.67,25.31,1.09,9.39,21.06,1.31,2.33,1.12,84.03275862068965,Satisfactory
Chennai,26/03/2019,39.29,13.950000000000003,20.5,24.94,39.59,25.58,0.87,7.07,36.49,0.0,0.0,1.12,65.00724137931034,Satisfactory
Chennai,26/03/2020,31.57,4.06,7.27,7.22,13.84,49.77,0.55,6.3,36.81,0.52,0.16,1.12,51.96310344827586,Satisfactory
Chennai,26/04/2015,57.57,29.72,35.23,36.72,6.91,10.85,10.92,1.23,32.495000000000005,7.86,1.315,1.12,95.89413793103449,Satisfactory
Chennai,26/04/2016,57.7,55.38,3.48,11.26,8.01,34.11,0.77,3.47,28.18,1.01,2.47,1.12,96.11379310344827,Satisfactory
Chennai,26/04/2017,60.21,81.04,2.39,11.17,8.85,44.15,0.09,7.76,32.11,0.11,3.74,1.12,,
Chennai,26/04/2018,44.01,106.7,38.85,26.2,39.58,54.19,0.81,5.12,29.81,3.82,11.14,1.12,72.98241379310345,Satisfactory
Chennai,26/04/2019,35.22,132.36,5.65,11.22,16.86,1.84,0.97,5.85,12.59,0.26,0.21,1.12,58.13034482758621,Satisfactory
Chennai,26/04/2020,10.76,158.02,6.05,12.01,15.7,32.18,0.78,6.89,34.53,0.15,0.0,1.12,17.933333333333334,Good
Chennai,26/05/2015,113.78,183.68,6.1,15.58,17.15,52.12,2.91,12.79,40.91,1.345,4.2,1.12,278.7662068965517,Poor
Chennai,26/05/2016,48.61,209.34,4.66,18.15,22.48,186.6,2.55,3.78,41.27,2.54,7.07,1.12,80.7548275862069,Satisfactory
Chennai,26/05/2017,71.65,235.0,5.41,19.55,8.41,123.13499999999999,0.26,9.51,50.56,0.07,0.0,1.12,137.35689655172416,Moderate
Chennai,26/05/2018,38.2,260.66,12.09,20.58,18.25,59.67,0.88,6.46,38.06,0.02,0.62,1.12,63.16551724137932,Satisfactory
Chennai,26/05/2019,48.62,286.32,7.39,12.94,18.87,19.66,1.05,7.3,51.3,0.39,0.39,1.12,80.77172413793103,Satisfactory
Chennai,26/05/2020,27.82,311.98,7.95,8.96,16.14,44.75,1.0,6.44,41.21,0.14,0.51,1.12,46.36666666666667,Good
Chennai,26/06/2015,69.03,266.385,3.74,17.22,15.38,63.57,2.71,11.35,36.46,0.89,0.15,1.12,128.41275862068966,Moderate
Chennai,26/06/2016,73.03,220.79000000000002,12.32,18.13,13.96,99.27,0.19,1.44,30.175,0.46,0.095,1.12,142.06793103448277,Moderate
Chennai,26/06/2017,45.53,175.195,7.75,16.51,12.43,62.56,0.0,4.51,23.89,0.03,0.04,1.12,75.55068965517242,Satisfactory
Chennai,26/06/2018,61.34,129.6,7.61,21.88,15.56,25.85,0.8,5.28,31.3,0.0,4.05,1.12,102.16068965517242,Moderate
Chennai,26/06/2019,45.52,84.005,8.72,18.68,27.37,30.425,0.94,4.24,29.75,0.12,2.99,1.12,75.53379310344829,Satisfactory
Chennai,26/06/2020,23.75,38.41,6.83,7.94,13.96,35.0,1.14,5.55,66.85,0.12,0.04,1.12,39.583333333333336,Good
Chennai,26/07/2015,47.88,36.059999999999995,4.45,19.16,16.82,50.64,1.31,14.62,29.31,0.10666666666666666,0.1,1.12,79.52137931034483,Satisfactory
Chennai,26/07/2016,23.58,33.71,3.14,7.82,8.45,113.62,1.14,2.47,24.259999999999998,0.09333333333333334,0.09,1.12,39.3,Good
Chennai,26/07/2017,92.04,31.36,8.46,12.23,11.17,89.65,0.07,4.66,19.21,0.08,0.08,1.12,204.55034482758623,Poor
Chennai,26/07/2018,37.4,29.009999999999998,11.65,21.36,18.27,65.68,0.82,11.1,16.83,0.0,7.04,1.12,61.813793103448276,Satisfactory
Chennai,26/07/2019,23.22,26.66,8.96,18.94,27.57,34.32,0.86,6.76,22.33,2.93,4.17,1.12,38.7,Good
